step,plddt,best_plddt,temp,accepted
0,0.4308,0.4308,1.00e-02,0
1,0.4321,0.4321,9.91e-03,1
2,0.4282,0.4321,9.82e-03,1
3,0.4282,0.4321,9.73e-03,0
4,0.4512,0.4512,9.64e-03,1
5,0.4512,0.4512,9.55e-03,0
6,0.4513,0.4513,9.46e-03,1
7,0.4513,0.4513,9.38e-03,0
8,0.4513,0.4513,9.29e-03,0
9,0.4513,0.4513,9.20e-03,0
10,0.4524,0.4524,9.12e-03,1
11,0.4524,0.4524,9.04e-03,0
12,0.4524,0.4524,8.95e-03,0
13,0.4524,0.4524,8.87e-03,0
14,0.4675,0.4675,8.79e-03,1
15,0.4675,0.4675,8.71e-03,0
16,0.4675,0.4675,8.63e-03,0
17,0.4675,0.4675,8.55e-03,0
18,0.4675,0.4675,8.47e-03,0
19,0.4675,0.4675,8.39e-03,0
20,0.4957,0.4957,8.32e-03,1
21,0.4979,0.4979,8.24e-03,1
22,0.4979,0.4979,8.17e-03,0
23,0.4979,0.4979,8.09e-03,0
24,0.4979,0.4979,8.02e-03,0
25,0.4979,0.4979,7.94e-03,0
26,0.4979,0.4979,7.87e-03,0
27,0.4984,0.4984,7.80e-03,1
28,0.4847,0.4984,7.73e-03,1
29,0.4823,0.4984,7.66e-03,1
30,0.4823,0.4984,7.59e-03,0
31,0.4828,0.4984,7.52e-03,1
32,0.4828,0.4984,7.45e-03,0
33,0.4828,0.4984,7.38e-03,0
34,0.4828,0.4984,7.31e-03,0
35,0.4619,0.4984,7.24e-03,1
36,0.4638,0.4984,7.18e-03,1
37,0.4749,0.4984,7.11e-03,1
38,0.4811,0.4984,7.05e-03,1
39,0.4857,0.4984,6.98e-03,1
40,0.4857,0.4984,6.92e-03,0
41,0.4831,0.4984,6.85e-03,1
42,0.4831,0.4984,6.79e-03,0
43,0.4831,0.4984,6.73e-03,0
44,0.4831,0.4984,6.67e-03,0
45,0.5060,0.5060,6.61e-03,1
46,0.5060,0.5060,6.55e-03,0
47,0.5088,0.5088,6.49e-03,1
48,0.5088,0.5088,6.43e-03,0
49,0.5088,0.5088,6.37e-03,0
50,0.4981,0.5088,6.31e-03,1
51,0.4981,0.5088,6.25e-03,0
52,0.4981,0.5088,6.19e-03,0
53,0.4915,0.5088,6.14e-03,1
54,0.4864,0.5088,6.08e-03,1
55,0.4840,0.5088,6.03e-03,1
56,0.4952,0.5088,5.97e-03,1
57,0.4952,0.5088,5.92e-03,0
58,0.4952,0.5088,5.86e-03,0
59,0.4977,0.5088,5.81e-03,1
60,0.4977,0.5088,5.75e-03,0
61,0.4977,0.5088,5.70e-03,0
62,0.5090,0.5090,5.65e-03,1
63,0.5090,0.5090,5.60e-03,0
64,0.5090,0.5090,5.55e-03,0
65,0.5171,0.5171,5.50e-03,1
66,0.5171,0.5171,5.45e-03,0
67,0.5171,0.5171,5.40e-03,0
68,0.5171,0.5171,5.35e-03,0
69,0.5171,0.5171,5.30e-03,0
70,0.5171,0.5171,5.25e-03,0
71,0.5171,0.5171,5.20e-03,0
72,0.5171,0.5171,5.15e-03,0
73,0.5171,0.5171,5.11e-03,0
74,0.5353,0.5353,5.06e-03,1
75,0.5353,0.5353,5.01e-03,0
76,0.5353,0.5353,4.97e-03,0
77,0.5353,0.5353,4.92e-03,0
78,0.5353,0.5353,4.88e-03,0
79,0.5353,0.5353,4.83e-03,0
80,0.5353,0.5353,4.79e-03,0
81,0.5353,0.5353,4.74e-03,0
82,0.5353,0.5353,4.70e-03,0
83,0.5353,0.5353,4.66e-03,0
84,0.5353,0.5353,4.61e-03,0
85,0.5353,0.5353,4.57e-03,0
86,0.5353,0.5353,4.53e-03,0
87,0.5353,0.5353,4.49e-03,0
88,0.5535,0.5535,4.45e-03,1
89,0.5535,0.5535,4.41e-03,0
90,0.5535,0.5535,4.37e-03,0
91,0.5535,0.5535,4.33e-03,0
92,0.5535,0.5535,4.29e-03,0
93,0.5535,0.5535,4.25e-03,0
94,0.5535,0.5535,4.21e-03,0
95,0.5535,0.5535,4.17e-03,0
96,0.5535,0.5535,4.13e-03,0
97,0.5535,0.5535,4.09e-03,0
98,0.5535,0.5535,4.06e-03,0
99,0.5535,0.5535,4.02e-03,0
100,0.5535,0.5535,3.98e-03,0
101,0.5535,0.5535,3.94e-03,0
102,0.5535,0.5535,3.91e-03,0
103,0.5535,0.5535,3.87e-03,0
104,0.5535,0.5535,3.84e-03,0
105,0.5535,0.5535,3.80e-03,0
106,0.5535,0.5535,3.77e-03,0
107,0.5535,0.5535,3.73e-03,0
108,0.5535,0.5535,3.70e-03,0
109,0.5535,0.5535,3.66e-03,0
110,0.5535,0.5535,3.63e-03,0
111,0.5535,0.5535,3.60e-03,0
112,0.5535,0.5535,3.56e-03,0
113,0.5535,0.5535,3.53e-03,0
114,0.5535,0.5535,3.50e-03,0
115,0.5535,0.5535,3.47e-03,0
116,0.5535,0.5535,3.44e-03,0
117,0.5535,0.5535,3.40e-03,0
118,0.5535,0.5535,3.37e-03,0
119,0.5535,0.5535,3.34e-03,0
120,0.5535,0.5535,3.31e-03,0
121,0.5535,0.5535,3.28e-03,0
122,0.5535,0.5535,3.25e-03,0
123,0.5535,0.5535,3.22e-03,0
124,0.5535,0.5535,3.19e-03,0
125,0.5535,0.5535,3.16e-03,0
126,0.5535,0.5535,3.13e-03,0
127,0.5535,0.5535,3.10e-03,0
128,0.5535,0.5535,3.08e-03,0
129,0.5535,0.5535,3.05e-03,0
130,0.5535,0.5535,3.02e-03,0
131,0.5535,0.5535,2.99e-03,0
132,0.5535,0.5535,2.96e-03,0
133,0.5535,0.5535,2.94e-03,0
134,0.5535,0.5535,2.91e-03,0
135,0.5535,0.5535,2.88e-03,0
136,0.5535,0.5535,2.86e-03,0
137,0.5535,0.5535,2.83e-03,0
138,0.5535,0.5535,2.81e-03,0
139,0.5535,0.5535,2.78e-03,0
140,0.5535,0.5535,2.75e-03,0
141,0.5535,0.5535,2.73e-03,0
142,0.5535,0.5535,2.70e-03,0
143,0.5535,0.5535,2.68e-03,0
144,0.5535,0.5535,2.65e-03,0
145,0.5535,0.5535,2.63e-03,0
146,0.5535,0.5535,2.61e-03,0
147,0.5535,0.5535,2.58e-03,0
148,0.5535,0.5535,2.56e-03,0
149,0.5535,0.5535,2.54e-03,0
150,0.5535,0.5535,2.51e-03,0
151,0.5535,0.5535,2.49e-03,0
152,0.5535,0.5535,2.47e-03,0
153,0.5535,0.5535,2.44e-03,0
154,0.5535,0.5535,2.42e-03,0
155,0.5535,0.5535,2.40e-03,0
156,0.5535,0.5535,2.38e-03,0
157,0.5535,0.5535,2.36e-03,0
158,0.5535,0.5535,2.33e-03,0
159,0.5535,0.5535,2.31e-03,0
160,0.5535,0.5535,2.29e-03,0
161,0.5535,0.5535,2.27e-03,0
162,0.5535,0.5535,2.25e-03,0
163,0.5535,0.5535,2.23e-03,0
164,0.5535,0.5535,2.21e-03,0
165,0.5535,0.5535,2.19e-03,0
166,0.5535,0.5535,2.17e-03,0
167,0.5535,0.5535,2.15e-03,0
168,0.5535,0.5535,2.13e-03,0
169,0.5535,0.5535,2.11e-03,0
170,0.5535,0.5535,2.09e-03,0
171,0.5535,0.5535,2.07e-03,0
172,0.5535,0.5535,2.05e-03,0
173,0.5535,0.5535,2.03e-03,0
174,0.5535,0.5535,2.01e-03,0
175,0.5535,0.5535,2.00e-03,0
176,0.5535,0.5535,1.98e-03,0
